id|premissa|conclusao|suporte|confiança
102|skill_moves_(2.9, 3.2], work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.45|0.882352941176471
103|weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.54|0.885245901639344
104|eur_value_(-62940.0, 12354000.0], penalties_(54.5, 61.0]|work_rate_def_Medium|0.31|0.885714285714286
105|work_rate_att_Medium, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.39|0.886363636363636
106|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|work_rate_def_Medium|0.71|0.8875
107|body_type_Normal|international_reputation_(0.996, 1.4]|0.4|0.888888888888889
108|work_rate_def_Medium, jumping_(60.5, 66.4]|eur_value_(-62940.0, 12354000.0]|0.32|0.888888888888889
109|eur_value_(-62940.0, 12354000.0], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.56|0.888888888888889
110|eur_value_(-62940.0, 12354000.0], weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.48|0.888888888888889
111|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.32|0.888888888888889
112|work_rate_def_Medium, preferred_foot_Right, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.32|0.888888888888889
113|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.32|0.888888888888889
114|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.4|0.888888888888889
115|international_reputation_(0.996, 1.4]|work_rate_def_Medium|0.73|0.890243902439024
116|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2]|work_rate_def_Medium|0.57|0.890625
